id,item
00dba509-b9ee-4ed6-90ce-424c594ba77c,"{""active"":true,""adminFee"":0,""basePrice"":5700,""code"":""TLKM5"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""33df9a89-15c8-4992-99ac-21d73719e4e3"",""name"":""Telkomsel 5.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00e830b4-4a88-4c09-9a40-4fd6d1853a38,"{""active"":true,""adminFee"":2750,""basePrice"":100015,""code"":""PLN100"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""948338bb-1896-4243-982f-946ccf23633e"",""name"":""PLN 100.000"",""operatorCode"":""pln"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""electricity"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00eea9cb-6900-4d1d-ae6b-e53fceaf81c8,"{""active"":true,""adminFee"":0,""basePrice"":10150,""code"":""THREE10"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""31a6cf29-d858-4b6d-8924-abe1f248d853"",""name"":""Three 10.000"",""operatorCode"":""three"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00f808ec-d08c-4758-8240-3421799275c8,"{""active"":true,""adminFee"":0,""basePrice"":3575,""code"":""DATA_INDSTY1"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""0f6ce4d4-0f98-4ca4-b011-3ce5bcc4ed8e"",""name"":""Indosat Yellow 1GB (masa aktif 1 hari)"",""operatorCode"":""indosat_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
00f908e6-f201-48e7-b4cf-236e795eb0c8,"{""active"":true,""adminFee"":0,""basePrice"":19800,""code"":""DATA_TLKM20"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":""simpati data 20.000 (200MB-420MB)** tergantung zona. berlaku 7 hari."",""id"":""a8a05262-0bb3-44bd-b8b0-c3a832f875dd"",""name"":""Telkomsel Data 20.000"",""operatorCode"":""telkomsel_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
01088b5b-33a4-4ed3-8d01-faeb1ed839f5,"{""active"":true,""adminFee"":0,""basePrice"":1270,""code"":""TLKM1"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""9fe821b6-b29a-4753-b496-01cb19a1cf08"",""name"":""Telkomsel 1.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
010d8275-efba-46f0-9c5b-9cbd5962eabb,"{""active"":true,""adminFee"":1500,""basePrice"":800,""code"":""PP_HALO"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""071e3d3d-75ee-4a8c-87b9-d2e54c28f90c"",""name"":""Telkomsel Pascabayar"",""operatorCode"":""telkomsel_postpaid"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile_postpaid"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
0115598a-98dc-45e3-8b9f-4cf2c0dd521b,"{""active"":true,""adminFee"":0,""basePrice"":19875,""code"":""TLKM20"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""59177f4e-a7ae-4684-b6ae-fc331499a894"",""name"":""Telkomsel 20.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
011a8586-9eb8-4ed4-bd35-b59187b7d7a6,"{""active"":true,""adminFee"":1500,""basePrice"":800,""code"":""PP_HALO"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""071e3d3d-75ee-4a8c-87b9-d2e54c28f90c"",""name"":""Telkomsel Pascabayar"",""operatorCode"":""telkomsel_postpaid"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile_postpaid"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
011c5d2f-25d4-4cbd-b904-65fc20dbead7,"{""active"":true,""adminFee"":0,""basePrice"":24775,""code"":""INDST25"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""0eab57da-29e7-4f0f-8920-8d14f41e1f07"",""name"":""Indosat 25.000"",""operatorCode"":""indosat"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
